,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Loan_Status_Num,TotalIncome,IncomeToLoanRatio
0,LP001002,1,0,0.0,0,0,5849,0.0,128.0,360.0,1.0,2,1,1,5849.0,45.6953125
1,LP001003,1,1,1.0,0,0,4583,1508.0,128.0,360.0,1.0,0,0,0,6091.0,47.5859375
2,LP001005,1,1,0.0,0,1,3000,0.0,66.0,360.0,1.0,2,1,1,3000.0,45.45454545454545
3,LP001006,1,1,0.0,1,0,2583,2358.0,120.0,360.0,1.0,2,1,1,4941.0,41.175
4,LP001008,1,0,0.0,0,0,6000,0.0,141.0,360.0,1.0,2,1,1,6000.0,42.5531914893617
5,LP001011,1,1,2.0,0,1,5417,4196.0,267.0,360.0,1.0,2,1,1,9613.0,36.00374531835206
6,LP001013,1,1,0.0,1,0,2333,1516.0,95.0,360.0,1.0,2,1,1,3849.0,40.51578947368421
7,LP001014,1,1,3.0,0,0,3036,2504.0,158.0,360.0,0.0,1,0,0,5540.0,35.063291139240505
8,LP001018,1,1,2.0,0,0,4006,1526.0,168.0,360.0,1.0,2,1,1,5532.0,32.92857142857143
9,LP001020,1,1,1.0,0,0,12841,10968.0,349.0,360.0,1.0,1,0,0,23809.0,68.22063037249283
10,LP001024,1,1,2.0,0,0,3200,700.0,70.0,360.0,1.0,2,1,1,3900.0,55.714285714285715
11,LP001027,1,1,2.0,0,0,2500,1840.0,109.0,360.0,1.0,2,1,1,4340.0,39.81651376146789
12,LP001028,1,1,2.0,0,0,3073,8106.0,200.0,360.0,1.0,2,1,1,11179.0,55.895
13,LP001029,1,0,0.0,0,0,1853,2840.0,114.0,360.0,1.0,0,0,0,4693.0,41.166666666666664
14,LP001030,1,1,2.0,0,0,1299,1086.0,17.0,120.0,1.0,2,1,1,2385.0,140.2941176470588
15,LP001032,1,0,0.0,0,0,4950,0.0,125.0,360.0,1.0,2,1,1,4950.0,39.6
16,LP001034,1,0,1.0,1,0,3596,0.0,100.0,240.0,1.0,2,1,1,3596.0,35.96
17,LP001036,0,0,0.0,0,0,3510,0.0,76.0,360.0,0.0,2,0,0,3510.0,46.18421052631579
18,LP001038,1,1,0.0,1,0,4887,0.0,133.0,360.0,1.0,0,0,0,4887.0,36.744360902255636
19,LP001041,1,1,0.0,0,0,2600,3500.0,115.0,360.0,1.0,2,1,1,6100.0,53.04347826086956
